"Symbol","BestTP","BestSL","Profit","WinRate"
"ATOM-USDT-SWAP","0,5","2","0,597035","100"
"ETHW-USDT-SWAP","0,5","2","0,59172000","98,65"
"XRP-USD-SWAP","0,5","2,4","0,568912","100"
"SOON-USDT-SWAP","2,1","0,5","0,55347682","43,67"
"SOON-USDT-SWAP","2,1","0,5","0,55347682","43,67"
"XRP-USDT-SWAP","0,5","2,4","0,5361515","100"
"ZRO-USDT-SWAP","0,5","2,2","0,51756","100"
"AXS-USDT-SWAP","0,5","1,9","0,504095","100"
"LQTY-USDT-SWAP","0,5","2,1","0,501672","100"
"WIF-USDT-SWAP","0,5","2,5","0,4710905","100"
"GAS-USDT-SWAP","0,5","1,8","0,47001","100"
"AVAX-USD-SWAP","2","1,6","0,46406","100"
"AVAX-USDT-SWAP","2","1,7","0,46396","100"
"CRV-USDT-SWAP","0,5","1,8","0,4592885","100"
"INJ-USDT-SWAP","0,5","0,5","0,457265","52,55"
"RAY-USDT-SWAP","0,5","0,5","0,4516205","58,93"
"BERA-USDT-SWAP","0,5","2,5","0,45143","100"
"GRASS-USDT-SWAP","0,5","3","0,44001400","97,78"
